token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
65018,ASHOKLEY27JAN26176CE,ASHOKLEY,27JAN2026,17600.000000,5000,OPTSTK,NFO,1.000000
65379,ASIANPAINT27JAN262400CE,ASIANPAINT,27JAN2026,240000.000000,250,OPTSTK,NFO,5.000000
65519,ASIANPAINT27JAN262640CE,ASIANPAINT,27JAN2026,264000.000000,250,OPTSTK,NFO,5.000000
65579,ASIANPAINT27JAN263000CE,ASIANPAINT,27JAN2026,300000.000000,250,OPTSTK,NFO,5.000000
66074,ASTRAL27JAN261200CE,ASTRAL,27JAN2026,120000.000000,425,OPTSTK,NFO,5.000000
66080,ASTRAL27JAN261320CE,ASTRAL,27JAN2026,132000.000000,425,OPTSTK,NFO,5.000000
66081,ASTRAL27JAN261320PE,ASTRAL,27JAN2026,132000.000000,425,OPTSTK,NFO,5.000000
66082,ASTRAL27JAN261360CE,ASTRAL,27JAN2026,136000.000000,425,OPTSTK,NFO,5.000000
66391,AUBANK27JAN26800CE,AUBANK,27JAN2026,80000.000000,1000,OPTSTK,NFO,5.000000
66415,AUBANK27JAN26940CE,AUBANK,27JAN2026,94000.000000,1000,OPTSTK,NFO,5.000000
66464,AUBANK27JAN261020CE,AUBANK,27JAN2026,102000.000000,1000,OPTSTK,NFO,5.000000
66757,AUROPHARMA27JAN261000CE,AUROPHARMA,27JAN2026,100000.000000,550,OPTSTK,NFO,5.000000
66759,AUROPHARMA27JAN261040CE,AUROPHARMA,27JAN2026,104000.000000,550,OPTSTK,NFO,5.000000
66768,AUROPHARMA27JAN261200PE,AUROPHARMA,27JAN2026,120000.000000,550,OPTSTK,NFO,5.000000
67116,AXISBANK27JAN261060CE,AXISBANK,27JAN2026,106000.000000,625,OPTSTK,NFO,5.000000
67191,AXISBANK27JAN261160PE,AXISBANK,27JAN2026,116000.000000,625,OPTSTK,NFO,5.000000
67205,AXISBANK27JAN261260PE,AXISBANK,27JAN2026,126000.000000,625,OPTSTK,NFO,5.000000
67214,AXISBANK27JAN261280CE,AXISBANK,27JAN2026,128000.000000,625,OPTSTK,NFO,5.000000
67258,AXISBANK27JAN261400CE,AXISBANK,27JAN2026,140000.000000,625,OPTSTK,NFO,5.000000
67593,BAJAJ-AUTO27JAN268200PE,BAJAJ-AUTO,27JAN2026,820000.000000,75,OPTSTK,NFO,5.000000
67596,BAJAJ-AUTO27JAN268600CE,BAJAJ-AUTO,27JAN2026,860000.000000,75,OPTSTK,NFO,5.000000
67598,BAJAJ-AUTO27JAN268800CE,BAJAJ-AUTO,27JAN2026,880000.000000,75,OPTSTK,NFO,5.000000
67617,BAJAJ-AUTO27JAN269600PE,BAJAJ-AUTO,27JAN2026,960000.000000,75,OPTSTK,NFO,5.000000
68079,BAJAJFINSV27JAN261800PE,BAJAJFINSV,27JAN2026,180000.000000,250,OPTSTK,NFO,5.000000
68081,BAJAJFINSV27JAN261840PE,BAJAJFINSV,27JAN2026,184000.000000,250,OPTSTK,NFO,5.000000
68092,BAJAJFINSV27JAN262040CE,BAJAJFINSV,27JAN2026,204000.000000,250,OPTSTK,NFO,5.000000
68175,ASHOKLEY27JAN26182.5CE,ASHOKLEY,27JAN2026,18250.000000,5000,OPTSTK,NFO,1.000000
68190,ASHOKLEY27JAN26187.5PE,ASHOKLEY,27JAN2026,18750.000000,5000,OPTSTK,NFO,1.000000
